0.00751416,1.94385,1.92363
1.95076,1.9649,1.94625
1.97301,1.98673,1.96883
1.99586,2.00841,1.9913
2.01761,2.03167,2.01483
2.04026,2.05602,2.0377
2.06256,2.0791,2.06034
2.08554,2.10353,2.08625
2.1101,2.12862,2.10978
2.13414,2.15348,2.13474
2.15748,2.17843,2.15984
2.18355,2.20486,2.18432
2.20902,2.2302,2.2123
2.23564,2.25609,2.23934
2.26199,2.28292,2.26728
2.29078,2.31003,2.29462
2.31859,2.3367,2.32377
2.34825,2.3642,2.35298
2.37852,2.39308,2.38288
2.40993,2.42298,2.41222
2.44246,2.45403,2.44513
2.47327,2.48673,2.47797
2.50605,2.51939,2.51184
2.54278,2.5548,2.54695
2.57703,2.59008,2.58339
2.61447,2.62631,2.61862
2.65083,2.66227,2.6549
2.68618,2.70055,2.69567
2.72608,2.73783,2.73504
2.76718,2.77736,2.7752
2.80805,2.81572,2.81719
2.84981,2.85801,2.86
2.89317,2.90085,2.90287
2.93625,2.94189,2.94692
2.98035,2.98482,2.99291
3.0253,3.02796,3.03753
3.07176,3.07322,3.08697
3.12036,3.11982,3.13559
3.16698,3.16786,3.18647
3.21845,3.21868,3.23777
3.26699,3.27059,3.29308
3.3191,3.32247,3.34619
3.37299,3.37501,3.40363
3.42915,3.43306,3.46278
3.48754,3.48742,3.52268
3.54785,3.54921,3.58444
3.60829,3.60825,3.65023
3.67034,3.66881,3.71569
3.73396,3.72992,3.78344
3.80071,0.0148465,3.85363
3.86996,3.85852,3.92762
3.94105,2.33991e-07,4.00248
4.01505,6.12649e-05,4.07863
4.08733,4.0723,4.15999
4.1647,4.15107,4.24307
4.24632,4.23223,4.32684
4.32943,2.5705e-07,4.41637
4.41403,4.40148,4.5104
4.50481,4.48989,4.60364
4.59603,2.73945e-07,4.70116
4.69326,0.0183331,4.80075
4.79491,4.76139,4.90809
4.89996,4.86281,5.01902
5.00692,4.96615,5.1353
5.12011,5.079,5.25399
5.23861,7.99349e-05,5.37771
5.3586,0.020932,5.50636
5.48547,5.44149,5.64031
5.6165,5.56899,5.77668
5.75168,5.70077,5.91663
5.89323,5.83553,6.06288
6.03451,5.97274,6.21095
6.18407,6.11486,6.36854
6.33566,6.26506,6.52783
6.49284,6.42081,6.69462
6.65141,6.58334,6.86693
6.81958,6.74801,7.04632
170.427,172.375,133.784
